name,latitude,longitude,rating,review_count,address,city,state,zip,phone,hours,num_connectors,total_kw,website
ChargePoint Charging Station,40.716133,-74.01556,,0,"211 N End Ave, New York, NY 10282",New York,New York,10282,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,7,https://www.chargepoint.com
ChargePoint Charging Station,40.728283,-73.99725099999999,,0,"2 Washington Square Village, New York, NY 10012",New York,New York,10012,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,7,https://www.chargepoint.com
Tesla Destination Charger,40.7214429,-74.0009566,,0,"40 Mercer St, New York, NY 10025",New York,New York,10025,+12122193413,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,13,https://www.tesla.com/charging
Blink Charging Station,40.71695,-74.01494799999999,5.0,1,"325 N End Ave, New York, NY 10282",New York,New York,10282,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,15,http://www.blinkcharging.com
Tesla Destination Charger,40.717138399999996,-73.9918513,,0,"59-63 Allen St, New York, NY 10002",New York,New York,10002,+12122261793,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,10,https://www.tesla.com
Tesla Destination Charger,40.7066309,-74.0169138,,0,"70 Little W St, New York, NY 10280",New York,New York,10280,+12123498316,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,16,https://www.tesla.com
Blink Charging Station,40.7342813,-74.001982,,0,"160 W 10th St, New York, NY 10014",New York,New York,10014,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,3,http://www.blinkcharging.com
AmpUp Charging Station,40.713454,-74.01540299999999,,0,"250 Vesey St, New York, NY 10281",New York,NY,,+12127864245,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://ampup.io
Tesla Destination Charger,40.706102699999995,-74.007398,,0,"The State-Whitehall Co, One Battery Park Plaza, Battery Pl, New York, NY 10004",New York,New York,10004,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,19,https://www.tesla.com/charging
Porsche Destination Charging,40.7045253,-74.007376,,0,"96 Front St, New York, NY 10005",New York,New York,10005,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,11,https://porsche.com/destinationcharging
EVoke Charging Station,40.716699999999996,-74.01432,,0,"300 N End Ave, New York, NY 10282",New York,New York,10282,+18134925220,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.evokesystems.com
Tesla Destination Charger,40.727796999999995,-73.990746,5.0,1,"The Standard, East Village, 25 Cooper Street, New York, NY 10004",New York,New York,10004,+12125755700,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,10,https://www.tesla.com/charging
Blink Charging Station,40.7165069,-74.0123236,,0,"200 Chambers St, New York, NY 10282",New York,New York,10282,+18555212244,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,4,https://blinkcharging.com
Blink Charging Station,40.7286308,-74.00761779999999,3.3,6,"375 Hudson St, New York, NY 10014",New York,New York,10014,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,http://www.blinkcharging.com
Evoke Charging Station,40.724323999999996,-73.99420099999999,,0,"284 Mott St, New York, NY 10012",New York,New York,10012,+18134925220,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.evokesystems.com
Tesla Destination Charger,40.711144999999995,-74.01633199999999,,0,"339 S End Ave, New York, NY 10280",New York,New York,10280,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,16,https://www.tesla.com
ChargePoint Charging Station,40.716305299999995,-74.016194,3.0,4,"20 River Ter. Apt 3E, New York, NY 10282",New York,New York,10282,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,https://na.chargepoint.com/charge_point?id=1:111757&action=VIEW
Tesla Destination Charger,40.702881999999995,-73.990594,5.0,1,"45 Main St, Brooklyn, NY 11201",Brooklyn,New York,11201,+17182220500,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,16,https://www.tesla.com/charging
EVoke Charging Station,40.705242,-74.016123,,0,"1 West St, New York, NY 10004",New York,New York,10004,+18134925220,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.evokesystems.com
ChargePoint Charging Station,40.701812499999996,-73.9869231,,0,"100 Jay St, Brooklyn, NY 11201",Brooklyn,New York,11201,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,7,https://www.chargepoint.com
Tesla Destination Charger,40.7098902,-74.00424509999999,3.0,1,"80 Gold St, New York, NY 10038",New York,New York,10038,+12129645250,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7169454,-73.99653599999999,,0,"44 Elizabeth St, New York, NY 10013",New York,New York,10013,+18554727569,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.tesla.com/charging
Blink Charging Station,40.7191046,-74.0112166,4.7,3,"40 Harrison St, New York, NY 10013",New York,New York,10013,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,https://blinkcharging.com
Tesla Destination Charger,40.7148724,-73.98645499999999,5.0,3,"188 Clinton St, New York, NY 10002",New York,New York,10002,+12122530240,,1,10,https://www.tesla.com/charging
Blink Charging Station,40.712775199999996,-74.0059728,3.0,1,"New York, NY 10087",New York,New York,10087,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,https://blinkcharging.com
Electric Vehicle Charging Station,40.718384199999996,-73.99928969999999,,0,"174 Centre St, New York, NY 10013",New York,New York,10013,,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,
Evoke Charging Station,40.734018,-74.00789499999999,,0,"140 Charles St, New York, NY 10014",New York,New York,10014,+18134925220,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.evokesystems.com
Tesla Destination Charger,40.729319499999995,-73.9991606,,0,"221 Thompson St, New York, NY 10012",New York,New York,10012,+12129299404,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7077917,-74.0170916,,0,"99 Battery Pl, New York, NY 10280",New York,New York,10280,+12129453109,,1,16,https://www.tesla.com/charging
EV Connect Charging Station,40.713831899999995,-74.0000589,,0,"170 Park Row, New York, NY 10038",New York,New York,10038,+18668167584,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,
EV Connect Charging Station,40.729494599999995,-73.9883747,,0,"220 E 9th St, New York, NY 10003",New York,New York,10003,+18668167584,,1,7,https://www.evconnect.com/ev-charging-stations
ChargePoint Charging Station,40.730485,-74.000728,,0,"122 W 3rd St, New York, NY 10012",New York,New York,10012,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,https://na.chargepoint.com/charge_point?id=1:71713&action=VIEW
FLO Charging Station,40.716079,-74.0021639,1.0,1,"130 Leonard St, New York, NY 10013",New York,New York,10013,,,1,6,https://www.flo.com
Tesla Destination Charger,40.7197824,-74.0105423,,0,"376 Greenwich St, New York, NY 10013",New York,New York,10013,+12122277035,,1,16,https://www.tesla.com/charging
Tesla Destination Charger,40.714191199999995,-74.0099386,,0,"54 Murray St, New York, NY 10007",New York,New York,10007,+12129629011,,1,10,https://www.tesla.com/charging
Tesla Destination Charger,40.7059654,-74.0099951,,0,"39 Exchange Pl, New York, NY 10005",New York,New York,10005,+12128250700,,1,16,https://www.tesla.com/charging
Tesla Destination Charger,40.7047534,-74.0084083,4.0,8,"75 Wall St, New York, NY 10005",New York,New York,10005,+12125901234,,1,8,https://www.tesla.com/charging
Blink Charging Station,40.7177236,-74.015047,,0,"375 N End Ave, New York, NY 10282",New York,New York,10282,+18889982546,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,https://www.blinkcharging.com
Tesla Supercharger,40.7174949,-73.9973076,3.2,5,"106 Mott St, New York, NY 10013",New York,New York,10013,+12122198940,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,0,https://www.tesla.com
Tesla Destination Charger,40.721748,-73.987653,,0,"169 Ludlow St, New York, NY 10012",New York,New York,10012,+12122477303,,1,10,https://www.tesla.com/charging
Tesla Destination Charger,40.6986444,-73.9921724,5.0,2,"75 Henry St, Brooklyn, NY 11201",Brooklyn,New York,11201,+18008366666,,1,10,https://www.tesla.com
FLO Charging Station,40.713898,-74.00434,,0,"10 Reade St, New York, NY 10007",New York,New York,10007,,,1,6,https://www.flo.ca
Electric Vehicle Charging Station,40.7213876,-73.9865804,1.0,1,"167 Essex St, New York, NY 10002",New York,New York,10002,,,0,0,
Tesla Destination Charger,40.7096406,-74.01582669999999,,0,"250 Albany St, New York, NY 10280",New York,New York,10280,+12129451876,,1,10,https://www.tesla.com/charging
Tesla Destination Charger,40.7076401,-74.0046599,1.0,1,"238 Pearl St, New York, NY 10069",New York,New York,10069,+12122272215,,1,6,https://www.tesla.com/charging
Tesla Destination Charger,40.708444199999995,-74.01669079999999,,0,"237 W Thames St, New York, NY 10280",New York,New York,10280,+12127864796,,1,10,https://www.tesla.com/charging
Electric Vehicle Charging Station,40.7150214,-73.9869312,,0,"413 Grand St, New York, NY 10002",New York,New York,10002,,,0,0,
Tesla Destination Charger,40.7161257,-74.0156829,,0,"400 Murray St, New York, NY 10013",New York,New York,10013,+12128422305,,1,16,https://www.tesla.com/charging
Tesla Destination Charger,40.730723,-73.990854,,0,"GGMC 91, 91 E 9th St, New York, NY 10003",New York,New York,10003,+12129951940,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.720309199999996,-74.0074731,,0,"27 N Moore St, New York, NY 10013",New York,New York,10013,+12129299404,,1,8,https://www.tesla.com/charging
FLO Charging Station,40.699487,-73.989515,1.0,4,"35 Red Cross Pl, Brooklyn, NY 11201",Brooklyn,New York,11201,,,1,6,http://flo.com
Tesla Destination Charger,40.7177271,-74.0109136,,0,"308 Greenwich St, New York, NY 10013",New York,New York,10013,+12122276940,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.731089499999996,-73.9909181,,0,"63 E 9th St, New York, NY 10003",New York,New York,10003,+12129795380,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.732259,-73.99577239999999,,0,"11 5th Ave, New York, NY 10003",New York,New York,10003,+12124759562,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7217013,-74.0041031,,0,"311 W Broadway, New York, NY 10013",New York,New York,10013,+12129252539,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7323379,-73.9951432,,0,"12 E 9th St, New York, NY 10003",New York,New York,10003,+12124739751,,1,8,https://www.tesla.com/charging
Electric Vehicle Charging Station,40.717945799999995,-74.00772359999999,5.0,1,"Parking lot, 15 Worth St, New York, NY 10013",New York,New York,10013,,,0,0,
Tesla Destination Charger,40.7166036,-74.0122703,1.0,1,"200 Chambers St, New York, NY 10007",New York,New York,10007,+18008366666,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.730486899999995,-73.9935698,,0,"60-68 E 8th St, New York, NY 10003",New York,New York,10003,+12124739061,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7336422,-74.0091795,,0,"150 Charles St, New York, NY 10014",New York,New York,10014,+12124144140,,1,8,https://www.tesla.com/charging
Noodoe EV Charging Station,40.709687699999996,-74.01096799999999,,0,"One Liberty Plaza, 7th Floor, New York, NY 10006",New York,New York,10006,+19094681118,,0,0,
Tesla Destination Charger,40.716268,-74.009491,,0,"121 Reade St, New York, NY 10013",New York,New York,10013,+12126083060,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.723728,-74.0110346,,0,"32 Desbrosses St, New York, NY 10013",New York,New York,10013,+12128420069,,1,8,https://www.tesla.com/charging
Blink Charging Station,40.714462999999995,-74.01098,4.7,3,"75 Park Pl, New York, NY 10007",New York,New York,10007,+18889982546,,0,0,https://www.blinkcharging.com
Tesla Destination Charger,40.7046296,-74.01080019999999,,0,"14-26 S William St, New York, NY 10004",New York,New York,10004,+12122695056,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7018385,-73.98695,,0,"100 Jay St, Brooklyn, NY 10021",Brooklyn,New York,10021,+17188552851,,1,16,https://www.tesla.com/charging
Tesla Destination Charger,40.7151883,-74.01211049999999,,0,"270 Greenwich St, New York, NY 10007",New York,New York,10007,+18008366666,,2,14,https://www.tesla.com/charging
Tesla Destination Charger,40.706964899999996,-74.017971,,0,"50 Battery Pl, New York, NY 10280",New York,New York,10280,+12129453109,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.7281968,-73.9925485,5.0,1,"403 Lafayette St, New York, NY 10003",New York,New York,10003,+12122541263,,1,8,https://www.tesla.com/charging
Tesla Destination Charger,40.695115,-73.990993,5.0,1,"300 Cadman Plz W, Brooklyn, NY 11201",Brooklyn,New York,11201,+18008366666,,1,10,https://www.tesla.com/charging
OpConnect Charging Station,40.7287195,-74.0091372,,0,"325 W Houston St, New York, NY 10014",New York,New York,10014,+18558859571,,0,0,https://www.opconnect.com
AmpUp Charging Station,40.710659,-74.015558,,0,"200 Liberty Street, 200 Liberty St, New York, NY 10006",New York,New York,10006,+12127864245,,0,0,
ChargePoint Charging Station,40.710930999999995,-74.001424,,0,"375 Pearl St, New York, NY 10038",New York,New York,10038,+18887584389,,0,0,
Tesla Destination Charger,40.7212337,-74.0034828,3.0,1,"6-10 Wooster St, New York, NY 10013",New York,New York,10013,+12124311034,,0,0,https://www.tesla.com/charging
Tesla Destination Charger,40.7016701,-73.9958565,5.0,1,"60 Furman St, Brooklyn, NY 11201",Brooklyn,New York,11201,+18778031111,,1,8,https://www.tesla.com/charging
Flash Charging Station,40.716622699999995,-74.0339099,,0,"10 Exchange Pl, Jersey City, NJ 07302",Jersey City,New Jersey,07302,+18887377465,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,7,https://www.flashparking.com/products/diversify-parking-revenue/ev-charging-as-a-revenue-stream
Tesla Destination Charger,40.6930459,-74.00016529999999,,0,"4 Joralemon St, Brooklyn, NY 11201",Brooklyn,New York,11201,+17184880099,,1,8,https://www.tesla.com/charging
Blink Charging Station,40.701142,-73.996003,,0,"90 Furman St, Brooklyn, NY 11201 NY",Brooklyn,New York,11201 NY,+18889982546,,0,0,
Electrify America Charging Station,34.063299,-118.23718389999999,3.0,36,"850 N Broadway, Los Angeles, CA 90012",Los Angeles,California,90012,+18336322778,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,350,https://www.electrifyamerica.com/locate-charger/ca/los-angeles/850-n-broadway/200070
ChargePoint Charging Station,38.523565999999995,-105.98391799999999,4.5,12,"144A Co Rd 105, Salida, CO 81201",Salida,Colorado,81201,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,3,600,https://www.chargepoint.com
EVgo Charging Station,34.051235,-118.24051499999999,3.5,12,"101 Judge John Aiso St, Los Angeles, CA 90012",Los Angeles,California,90012,+18774943833,Monday: 6 AM–12 AM; Tuesday: 6 AM–12 AM; Wednesday: 6 AM–12 AM; Thursday: 6 AM–12 AM; Friday: 9 AM–12 AM; Saturday: 9 AM–12 AM; Sunday: 9 AM–10 PM,2,100,https://www.evgo.com/find-a-charger/ca/los-angeles/101-judge-john-aiso-st-165271
ChargePoint Charging Station,38.841718,-106.120212,2.9,17,"912 South Main Street, Buena Vista, CO 81211",Buena Vista,Colorado,81211,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,3,132,https://www.chargepoint.com
EVCS Charging Station,34.0669347,-118.2482867,3.0,2,"1115 Sunset Blvd, Los Angeles, CA 90012",Los Angeles,California,90012,+18663003827,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,3,108,https://evcs.com
ChargePoint Charging Station,39.1914447,-106.8178248,5.0,1,"427 Rio Grande Pl, Aspen, CO 81611",Aspen,Colorado,81611,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,4,147,https://www.chargepoint.com
ChargePoint Charging Station,39.191854899999996,-106.81851499999999,5.0,1,"415 Rio Grande Pl, Aspen, CO 81611",Aspen,Colorado,81611,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,125,https://www.chargepoint.com
ChargePoint Charging Station,39.221542,-105.997163,4.0,24,"901 Main St, Fairplay, CO 80440",Fairplay,Colorado,80440,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,400,https://www.chargepoint.com
ChargePoint Charging Station,39.246257,-106.291219,2.7,10,"Harrison &, W 3rd St, Leadville, CO 80461",Leadville,Colorado,80461,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,125,https://www.chargepoint.com
ChargePoint Charging Station,39.191446,-106.820154,,0,"1 N Monarch St, Aspen, CO 81611",Aspen,Colorado,81611,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,125,https://www.chargepoint.com
ChargePoint Charging Station,38.544888,-106.9251,3.0,1,"202 E Tomichi Ave, Gunnison, CO 81230",Gunnison,Colorado,81230,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,400,https://www.chargepoint.com
ChargePoint Charging Station,39.186975499999996,-106.81934679999999,5.0,1,"501 S Galena St, Aspen, CO 81611",Aspen,Colorado,81611,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,2,125,https://www.chargepoint.com
Loop Charging Station,34.063279699999995,-118.2332955,2.6,5,US,Los Angeles,CA,,+18883856671,,2,100,https://evloop.io
PowerFlex Charging Station,34.0598384,-118.2503972,4.0,2,"313 N Figueroa St, Los Angeles, CA 90012",Los Angeles,California,90012,+18334797359,Monday: 12:32 PM–3:03 AM; Tuesday: 12:32 PM–3:03 AM; Wednesday: Closed; Thursday: Closed; Friday: Closed; Saturday: Closed; Sunday: 12:32 PM–3:03 AM,3,207,https://www.powerflex.com
ChargePoint Charging Station,39.211003399999996,-106.9473275,,0,"130 Kearns Rd, Snowmass Village, CO 81615",Snowmass Village,Colorado,81615,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,3,179,https://www.chargepoint.com
ChargePoint Charging Station,34.045564,-118.232389,3.0,2,"300 S Santa Fe Ave, Los Angeles, CA 90013",Los Angeles,California,90013,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,7,https://www.chargepoint.com
ChargePoint Charging Station,34.0537211,-118.24583709999999,,0,"300-354 W 1st St, Los Angeles, CA 90012",Los Angeles,California,90012,+18887584389,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,1,7,https://www.chargepoint.com
